benchmark,benchmark_file,difficulty,model,model_label,cheatsheet,cheatsheet_label,total,accuracy,f1_score,true_accuracy,false_accuracy,parse_success_rate,avg_time_s,estimated_cost_usd,cost_basis,timestamp
hard3_balanced20_true10_false10_rotation0001_20260403_163406,hard3_balanced20_true10_false10_rotation0001_20260403_163406.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,20,0.5000,0.6667,1.0000,0.0000,1.0000,16.13,0.015376,exact,2026-04-03 11:04:25
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,40,0.5000,0.6667,1.0000,0.0000,1.0000,9.25,0.030388,exact,2026-04-03 13:14:53
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,40,0.4500,0.6071,0.8500,0.0500,0.8500,15.93,0.046568,exact,2026-04-03 15:12:37
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,40,0.5000,0.6667,1.0000,0.0000,1.0000,16.74,0.038796,exact,2026-04-03 18:28:26
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24b,v24b,40,0.4250,0.5965,0.8500,0.0000,0.9750,21.61,0.043087,exact,2026-04-05 17:47:13
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24h,v24h,40,0.5000,0.6667,1.0000,0.0000,0.9750,9.73,0.036589,exact,2026-04-06 19:40:09
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24i,v24i,40,0.6250,0.7170,0.9500,0.3000,0.9750,20.81,0.057453,exact,2026-04-07 17:33:37
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,40,0.5250,0.6545,0.9000,0.1500,1.0000,20.19,0.054760,exact,2026-04-07 18:39:50
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,40,0.7250,0.7843,1.0000,0.4500,1.0000,23.98,0.058592,exact,2026-04-07 19:58:15
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,40,0.6500,0.7308,0.9500,0.3500,1.0000,20.25,0.058921,exact,2026-04-07 20:19:38
hard_balanced40_true20_false20_rotation0001_20260403_163406,hard_balanced40_true20_false20_rotation0001_20260403_163406.jsonl,hard,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,40,0.5500,0.6897,1.0000,0.1000,1.0000,13.88,0.030423,exact,2026-04-03 10:58:51
magma_eval_test_10,magma_eval_test_10.jsonl,magma,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,magma_eval_test,magma_eval_test,8,0.8750,0.8571,1.0000,0.8000,1.0000,15.85,0.005833,exact,2026-04-05 18:23:13
normal_balanced10_true5_false5_seed0,normal_balanced10_true5_false5_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23a,v23a,10,0.7000,0.7692,1.0000,0.4000,1.0000,22.29,0.011617,exact,2026-04-03 17:03:38
normal_balanced10_true5_false5_seed0,normal_balanced10_true5_false5_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,10,0.9000,0.9091,1.0000,0.8000,1.0000,14.72,0.009163,exact,2026-04-03 17:10:38
normal_balanced10_true5_false5_seed0,normal_balanced10_true5_false5_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,10,0.9000,0.9091,1.0000,0.8000,1.0000,20.05,0.009408,exact,2026-04-03 17:34:05
normal_balanced10_true5_false5_seed1,normal_balanced10_true5_false5_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,10,0.8000,0.8333,1.0000,0.6000,1.0000,15.80,0.008883,exact,2026-04-03 17:13:27
normal_balanced10_true5_false5_seed1,normal_balanced10_true5_false5_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,10,0.8000,0.8333,1.0000,0.6000,1.0000,13.31,0.009244,exact,2026-04-03 17:36:25
normal_balanced20_true10_false10_seed0,normal_balanced20_true10_false10_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,20,0.9000,0.9091,1.0000,0.8000,1.0000,17.37,0.018141,exact,2026-04-03 17:20:01
normal_balanced20_true10_false10_seed0,normal_balanced20_true10_false10_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,20,0.9000,0.9091,1.0000,0.8000,1.0000,15.16,0.018681,exact,2026-04-03 17:49:02
