benchmark,benchmark_file,difficulty,model,model_label,cheatsheet,cheatsheet_label,total,accuracy,f1_score,true_accuracy,false_accuracy,parse_success_rate,avg_time_s,estimated_cost_usd,cost_basis,timestamp
gate_normal_30_30_v23c_gemma-4-31b-it,gate_normal_30_30_v23c_gemma-4-31b-it.jsonl,normal,google/gemma-4-31b-it,Gemma 4 31B IT,v23c,v23c,60,0.9333,0.9375,1.0000,0.8667,1.0000,47.13,0.034682,exact,2026-04-11 14:13:52
gate_normal_30_30_v23c_gpt-oss-120b,gate_normal_30_30_v23c_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v23c,v23c,60,0.7833,0.7937,0.8333,0.7333,0.7833,8.35,0.108262,exact,2026-04-11 13:33:01
gate_normal_30_30_v23c_gpt-oss-120b,gate_normal_30_30_v23c_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v23c,v23c,60,0.9333,0.9375,1.0000,0.8667,1.0000,14.31,0.137547,exact,2026-04-11 13:34:44
gate_normal_30_30_v23c_llama-3-3-70b-instruct,gate_normal_30_30_v23c_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,60,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.000844,estimated,2026-04-11 13:25:10
gate_normal_30_30_v24j_gemma-4-31b-it,gate_normal_30_30_v24j_gemma-4-31b-it.jsonl,normal,google/gemma-4-31b-it,Gemma 4 31B IT,v24j,v24j,60,0.9333,0.9375,1.0000,0.8667,1.0000,66.23,0.050714,exact,2026-04-11 17:26:55
gate_normal_30_30_v24j_gpt-oss-120b,gate_normal_30_30_v24j_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,60,0.9500,0.9524,1.0000,0.9000,1.0000,5.97,0.167453,exact,2026-04-11 16:26:30
gate_normal_50_50_v24j_gpt-oss-120b,gate_normal_50_50_v24j_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,100,0.9200,0.9245,0.9800,0.8600,0.9900,4.57,0.277532,exact,2026-04-11 11:40:07
gate_normal_50_50_v24j_gpt-oss-120b,gate_normal_50_50_v24j_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,100,0.9400,0.9434,1.0000,0.8800,1.0000,5.50,0.282122,exact,2026-04-11 11:58:25
gate_normal_50_50_v24j_gpt-oss-120b,gate_normal_50_50_v24j_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,100,0.9300,0.9346,1.0000,0.8600,1.0000,5.13,0.282158,exact,2026-04-11 12:13:43
gate_normal_50_50_v24j_llama-3-3-70b-instruct,gate_normal_50_50_v24j_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.072154,estimated,2026-04-11 11:40:40
gate_normal_50_50_v24j_llama-3-3-70b-instruct,gate_normal_50_50_v24j_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,1,1.0000,1.0000,1.0000,0.0000,1.0000,18.20,0.001386,exact,2026-04-11 12:04:55
gate_normal_50_50_v24j_llama-3-3-70b-instruct,gate_normal_50_50_v24j_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,100,0.9300,0.9333,0.9800,0.8800,1.0000,15.95,0.135842,exact,2026-04-11 12:40:23
hard2_balanced20_true10_false10_rotation0017_20260415_021226_v26f_gpt-oss-120b,hard2_balanced20_true10_false10_rotation0017_20260415_021226_v26f_gpt-oss-120b.jsonl,hard2,openai/gpt-oss-120b,GPT-OSS-120B,v26f,v26f,20,0.4000,0.5000,0.6000,0.2000,0.9500,73.03,0.104162,exact,2026-04-14 20:37:00
hard2_balanced30_true15_false15_rotation0013_20260414_010332_v26f_gpt-oss-120b,hard2_balanced30_true15_false15_rotation0013_20260414_010332_v26f_gpt-oss-120b.jsonl,hard2,openai/gpt-oss-120b,GPT-OSS-120B,v26f,v26f,30,0.2333,0.3784,0.4667,0.0000,0.7667,46.19,0.119694,exact,2026-04-14 21:42:06
hard2_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b,hard2_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b.jsonl,hard2,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,50,0.2000,0.3333,1.0000,0.0000,1.0000,31.09,0.170849,exact,2026-04-13 12:35:58
hard2_false30_distill_20260412_v26a_gpt-oss-120b,hard2_false30_distill_20260412_v26a_gpt-oss-120b.jsonl,hard2,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.0667,0.0000,0.0000,0.0667,1.0000,17.36,0.103898,exact,2026-04-11 21:31:59
hard2_v26a_gpt-oss-120b,hard2_v26a_gpt-oss-120b.jsonl,hard2,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,20,0.4000,0.5714,1.0000,0.0000,1.0000,12.49,0.066635,exact,2026-04-12 21:57:38
hard2_v26b_gpt-oss-120b,hard2_v26b_gpt-oss-120b.jsonl,hard2,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,20,0.4000,0.5714,1.0000,0.0000,1.0000,6.96,0.065892,exact,2026-04-12 22:33:54
hard3_balanced20_true10_false10_rotation0001_20260403_163406,hard3_balanced20_true10_false10_rotation0001_20260403_163406.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,20,0.5000,0.6667,1.0000,0.0000,1.0000,16.13,0.015376,exact,2026-04-03 11:04:25
hard3_balanced20_true10_false10_rotation0010_20260413_032310_v26a_gpt-oss-120b,hard3_balanced20_true10_false10_rotation0010_20260413_032310_v26a_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,20,0.6500,0.7407,1.0000,0.3000,1.0000,16.85,0.071818,exact,2026-04-12 21:53:20
