Equation,Implies,Implied by,Does not imply,Not implied by,Unknown,Unknown by
Equation1[x = x],0,4693,4693,0,0,0
Equation2[x = y],4693,1495,0,3198,0,0
Equation3[x = x ◇ x],39,1704,4654,2989,0,0
Equation4[x = x ◇ y],1213,1566,3480,3127,0,0
Equation5[x = y ◇ x],1213,1566,3480,3127,0,0
Equation8[x = x ◇ (x ◇ x)],8,1973,4685,2720,0,0
Equation9[x = x ◇ (x ◇ y)],117,1590,4576,3103,0,0
Equation10[x = x ◇ (y ◇ x)],63,1768,4630,2925,0,0
Equation11[x = x ◇ (y ◇ y)],42,1617,4651,3076,0,0
Equation13[x = y ◇ (x ◇ x)],574,1678,4119,3015,0,0
Equation14[x = y ◇ (x ◇ y)],117,1545,4576,3148,0,0
Equation16[x = y ◇ (y ◇ x)],40,1748,4653,2945,0,0
Equation23[x = (x ◇ x) ◇ x],8,1973,4685,2720,0,0
Equation24[x = (x ◇ x) ◇ y],574,1678,4119,3015,0,0
Equation25[x = (x ◇ y) ◇ x],63,1768,4630,2925,0,0
Equation26[x = (x ◇ y) ◇ y],40,1748,4653,2945,0,0
Equation28[x = (y ◇ x) ◇ x],117,1590,4576,3103,0,0
Equation31[x = (y ◇ y) ◇ x],42,1617,4651,3076,0,0
Equation38[x ◇ x = x ◇ y],175,2295,4518,2398,0,0
Equation39[x ◇ x = y ◇ x],175,2295,4518,2398,0,0
Equation40[x ◇ x = y ◇ y],13,2105,4680,2588,0,0
Equation41[x ◇ x = y ◇ z],1555,1914,3138,2779,0,0
Equation43[x ◇ y = y ◇ x],13,1987,4680,2706,0,0
Equation47[x = x ◇ (x ◇ (x ◇ x))],1,1830,4692,2863,0,0
Equation48[x = x ◇ (x ◇ (x ◇ y))],49,1596,4644,3097,0,0
Equation49[x = x ◇ (x ◇ (y ◇ x))],7,1746,4686,2947,0,0
Equation50[x = x ◇ (x ◇ (y ◇ y))],3,1593,4690,3100,0,0
Equation52[x = x ◇ (y ◇ (x ◇ x))],11,1722,4682,2971,0,0
Equation53[x = x ◇ (y ◇ (x ◇ y))],4,1567,4689,3126,0,0
Equation55[x = x ◇ (y ◇ (y ◇ x))],6,1725,4687,2968,0,0
Equation56[x = x ◇ (y ◇ (y ◇ y))],2,1569,4691,3124,0,0
Equation58[x = x ◇ (y ◇ (z ◇ x))],39,1717,4654,2976,0,0
Equation62[x = y ◇ (x ◇ (x ◇ x))],346,1642,4347,3051,0,0
Equation63[x = y ◇ (x ◇ (x ◇ y))],12,1496,4681,3197,0,0
Equation65[x = y ◇ (x ◇ (y ◇ x))],2,1646,4691,3047,0,0
Equation66[x = y ◇ (x ◇ (y ◇ y))],7,1499,4686,3194,0,0
Equation72[x = y ◇ (y ◇ (x ◇ x))],15,1647,4678,3046,0,0
Equation73[x = y ◇ (y ◇ (x ◇ y))],2,1497,4691,3196,0,0
Equation75[x = y ◇ (y ◇ (y ◇ x))],2,1643,4691,3050,0,0
Equation99[x = x ◇ ((x ◇ x) ◇ x)],1,1903,4692,2790,0,0
Equation100[x = x ◇ ((x ◇ x) ◇ y)],15,1610,4678,3083,0,0
Equation101[x = x ◇ ((x ◇ y) ◇ x)],14,1789,4679,2904,0,0
Equation102[x = x ◇ ((x ◇ y) ◇ y)],47,1582,4646,3111,0,0
Equation103[x = x ◇ ((x ◇ y) ◇ z)],151,1573,4542,3120,0,0
Equation104[x = x ◇ ((y ◇ x) ◇ x)],7,1807,4686,2886,0,0
Equation105[x = x ◇ ((y ◇ x) ◇ y)],2,1583,4691,3110,0,0
Equation106[x = x ◇ ((y ◇ x) ◇ z)],106,1572,4587,3121,0,0
Equation107[x = x ◇ ((y ◇ y) ◇ x)],2,1786,4691,2907,0,0
Equation108[x = x ◇ ((y ◇ y) ◇ y)],2,1583,4691,3110,0,0
Equation109[x = x ◇ ((y ◇ y) ◇ z)],72,1577,4621,3116,0,0
Equation111[x = x ◇ ((y ◇ z) ◇ y)],95,1570,4598,3123,0,0
Equation115[x = y ◇ ((x ◇ x) ◇ y)],4,1497,4689,3196,0,0
Equation117[x = y ◇ ((x ◇ y) ◇ x)],4,1688,4689,3005,0,0
Equation118[x = y ◇ ((x ◇ y) ◇ y)],6,1497,4687,3196,0,0
Equation124[x = y ◇ ((y ◇ x) ◇ x)],16,1679,4677,3014,0,0
Equation125[x = y ◇ ((y ◇ x) ◇ y)],9,1496,4684,3197,0,0
Equation127[x = y ◇ ((y ◇ y) ◇ x)],4,1687,4689,3006,0,0
Equation138[x = y ◇ ((z ◇ y) ◇ x)],61,1685,4632,3008,0,0
Equation151[x = (x ◇ x) ◇ (x ◇ x)],1,1981,4692,2712,0,0
Equation152[x = (x ◇ x) ◇ (x ◇ y)],9,1718,4684,2975,0,0
Equation153[x = (x ◇ x) ◇ (y ◇ x)],9,1872,4684,2821,0,0
